person1,person2,class
person_0059_b,person_0061_a,0
person_0085_a,person_0120_b,0
person_0085_a,person_0120_a,0
person_0085_a,person_0119_b,0
person_0085_a,person_0119_a,0
person_0085_a,person_0118_b,0
person_0085_a,person_0118_a,0
person_0085_a,person_0117_b,0
person_0085_a,person_0117_a,0
person_0085_a,person_0116_b,0
person_0085_a,person_0116_a,0
person_0085_a,person_0115_b,0
person_0085_a,person_0115_a,0
person_0085_a,person_0114_b,0
person_0085_a,person_0114_a,0
person_0085_a,person_0113_b,0
person_0085_a,person_0121_a,0
person_0085_a,person_0113_a,0
person_0085_a,person_0121_b,0
person_0085_a,person_0122_b,0
person_0085_a,person_0130_a,0
person_0085_a,person_0129_b,0
person_0085_a,person_0129_a,0
person_0085_a,person_0128_b,0
person_0085_a,person_0128_a,0
person_0085_a,person_0127_b,0
person_0085_a,person_0127_a,0
person_0085_a,person_0126_b,0
person_0085_a,person_0126_a,0
person_0085_a,person_0125_b,0
person_0085_a,person_0125_a,0
person_0085_a,person_0124_b,0
person_0085_a,person_0124_a,0
person_0085_a,person_0123_b,0
person_0085_a,person_0123_a,0
person_0085_a,person_0122_a,0
person_0085_a,person_0112_b,0
person_0085_a,person_0112_a,0
person_0085_a,person_0111_b,0
person_0085_a,person_0101_a,0
person_0085_a,person_0100_b,0
person_0085_a,person_0100_a,0
person_0085_a,person_0099_b,0
person_0085_a,person_0099_a,0
person_0085_a,person_0098_b,0
person_0085_a,person_0098_a,0
person_0085_a,person_0097_b,0
person_0085_a,person_0097_a,0
person_0085_a,person_0096_b,0
person_0085_a,person_0096_a,0
person_0085_a,person_0095_b,0
person_0085_a,person_0095_a,0
person_0085_a,person_0094_b,0
person_0085_a,person_0094_a,0
person_0085_a,person_0101_b,0
person_0085_a,person_0102_a,0
person_0085_a,person_0102_b,0
person_0085_a,person_0103_a,0
person_0085_a,person_0111_a,0
person_0085_a,person_0110_b,0
person_0085_a,person_0110_a,0
person_0085_a,person_0109_b,0
person_0085_a,person_0109_a,0
person_0085_a,person_0108_b,0
person_0085_a,person_0108_a,0
person_0085_a,person_0130_b,0
person_0085_a,person_0107_b,0
person_0085_a,person_0106_b,0
person_0085_a,person_0106_a,0
person_0085_a,person_0105_b,0
person_0085_a,person_0105_a,0
person_0085_a,person_0104_b,0
person_0085_a,person_0104_a,0
person_0085_a,person_0103_b,0
person_0085_a,person_0107_a,0
person_0085_a,person_0131_a,0
person_0085_a,person_0131_b,0
person_0085_a,person_0132_a,0
person_0085_a,person_0159_a,0
person_0085_a,person_0158_b,0
person_0085_a,person_0158_a,0
person_0085_a,person_0157_b,0
person_0085_a,person_0157_a,0
person_0085_a,person_0156_b,0
person_0085_a,person_0156_a,0
person_0085_a,person_0155_b,0
person_0085_a,person_0155_a,0
person_0085_a,person_0154_b,0
person_0085_a,person_0154_a,0
person_0085_a,person_0153_b,0
person_0085_a,person_0153_a,0
person_0085_a,person_0152_b,0
person_0085_a,person_0152_a,0
person_0085_a,person_0159_b,0
person_0085_a,person_0160_a,0
person_0085_a,person_0160_b,0
person_0085_a,person_0161_a,0
person_0085_a,person_0169_a,0
person_0085_a,person_0168_b,0
person_0085_a,person_0168_a,0
person_0085_a,person_0167_b,0
person_0085_a,person_0167_a,0
person_0085_a,person_0166_b,0
person_0085_a,person_0166_a,0
person_0085_a,person_0151_b,0
person_0085_a,person_0165_b,0
person_0085_a,person_0164_b,0
person_0085_a,person_0164_a,0
person_0085_a,person_0163_b,0
person_0085_a,person_0163_a,0
person_0085_a,person_0162_b,0
person_0085_a,person_0162_a,0
person_0085_a,person_0161_b,0
person_0085_a,person_0165_a,0
person_0085_a,person_0093_b,0
person_0085_a,person_0151_a,0
person_0085_a,person_0150_a,0
person_0085_a,person_0139_b,0
person_0085_a,person_0139_a,0
person_0085_a,person_0138_b,0
person_0085_a,person_0138_a,0
person_0085_a,person_0137_b,0
person_0085_a,person_0137_a,0
person_0085_a,person_0136_b,0
person_0085_a,person_0136_a,0
person_0085_a,person_0135_b,0
person_0085_a,person_0135_a,0
person_0085_a,person_0134_b,0
person_0085_a,person_0134_a,0
person_0085_a,person_0133_b,0
person_0085_a,person_0133_a,0
person_0085_a,person_0132_b,0
person_0085_a,person_0140_a,0
person_0085_a,person_0140_b,0
person_0085_a,person_0141_a,0
person_0085_a,person_0141_b,0
person_0085_a,person_0149_b,0
